;A;B;C
11-11-2024 00:00;0;0;0
11-11-2024 01:00;0;0;0
11-11-2024 02:00;0;0;0
11-11-2024 03:00;0;0;0
11-11-2024 04:00;0;0;0
11-11-2024 05:00;0;0;0
11-11-2024 06:00;0;0;0
11-11-2024 07:00;0.001327524;6.17E-05;0
11-11-2024 08:00;0.013152602;0.032418285;0.004121842
11-11-2024 09:00;0.034613038;0.13570867;0.036550431
11-11-2024 10:00;0.058531289;0.265390913;0.085291208
11-11-2024 11:00;0;0.347631187;0.10087177
11-11-2024 12:00;0.083488973;0.384306031;0.111578253
11-11-2024 13:00;0.075384507;0.376075376;0.09930547
11-11-2024 14:00;0.053518893;0.297379958;0.069545773
11-11-2024 15:00;0.024328753;0.162902117;0.054707143
11-11-2024 16:00;0.003539966;0.03496272;0.028059437
11-11-2024 17:00;0;5.69E-07;0
11-11-2024 18:00;0;0;0
11-11-2024 19:00;0;0;0
11-11-2024 20:00;0.00E+00;0;0
11-11-2024 21:00;0;0;0.00E+00
11-11-2024 22:00;0;0;0
11-11-2024 23:00;0;0;0
